,clean
48,"premium unleaded (required),AUTOMATIC,all wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Coupe,BMW 2 Series"
49,"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Convertible,BMW 2 Series"
50,"premium unleaded (recommended),AUTOMATIC,all wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Coupe,BMW 2 Series"
51,"premium unleaded (recommended),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Convertible,BMW 2 Series"
52,"premium unleaded (recommended),AUTOMATIC,all wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Convertible,BMW 2 Series"
53,"premium unleaded (recommended),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Coupe,BMW 2 Series"
54,"premium unleaded (recommended),AUTOMATIC,rear wheel drive,Luxury,Performance,Compact,Convertible,BMW 2 Series"
55,"premium unleaded (recommended),AUTOMATIC,rear wheel drive,Luxury,Performance,Compact,Coupe,BMW 2 Series"
56,"premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Performance,Compact,Coupe,BMW 2 Series"
57,"premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Compact,Convertible,BMW 2 Series"
58,"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,Audi 200"
59,"regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Wagon,Audi 200"
60,"regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Sedan,Audi 200"
61,"regular unleaded,MANUAL,all wheel drive,Luxury,Performance,Midsize,Sedan,Audi 200"
62,"regular unleaded,MANUAL,all wheel drive,Luxury,Performance,Midsize,Wagon,Audi 200"
63,"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,Audi 200"
64,"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200"
65,"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200"
66,"flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,Flex Fuel,Performance,Midsize,Sedan,Chrysler 200"
67,"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200"
68,"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Performance,Midsize,Sedan,Chrysler 200"
69,"flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,Flex Fuel,Performance,Midsize,Sedan,Chrysler 200"
70,"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200"
71,"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200"
72,"flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,Flex Fuel,Performance,Midsize,Sedan,Chrysler 200"
73,"flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,Flex Fuel,Performance,Midsize,Sedan,Chrysler 200"
74,"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200"
75,"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200"
76,"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200"
77,"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200"
78,"flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,Flex Fuel,Performance,Midsize,Sedan,Chrysler 200"
79,"flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,Flex Fuel,Performance,Midsize,Sedan,Chrysler 200"
80,"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200"
81,"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200"
82,"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200"
83,"flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,Flex Fuel,Performance,Midsize,Sedan,Chrysler 200"
84,"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200"
85,"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200"
86,"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200"
87,"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Nissan 200SX"
88,"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Nissan 200SX"
89,"regular unleaded,MANUAL,front wheel drive,Performance,Compact,Coupe,Nissan 200SX"
90,"regular unleaded,MANUAL,front wheel drive,Performance,Compact,Coupe,Nissan 200SX"
91,"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Nissan 200SX"
92,"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Nissan 200SX"
93,"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Nissan 200SX"
94,"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Nissan 200SX"
95,"regular unleaded,MANUAL,front wheel drive,Performance,Compact,Coupe,Nissan 200SX"
96,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 240SX"
97,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 240SX"
98,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 240SX"
99,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 240SX"
100,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 240SX"
101,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 240SX"
102,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 240SX"
103,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 240SX"
104,"regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Wagon,Volvo 240"
105,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Wagon,Volvo 240"
106,"regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Sedan,Volvo 240"
107,"regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Sedan,Volvo 240"
108,"regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Wagon,Volvo 240"
109,"regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Sedan,Volvo 240"
110,"regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Sedan,Volvo 240"
111,"regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Wagon,Volvo 240"
112,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2"
113,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2"
114,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2"
115,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2"
116,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2"
117,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2"
118,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2"
119,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2"
120,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2"
121,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2"
122,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2"
123,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2"
124,"premium unleaded (required),AUTOMATIC,all wheel drive,Hatchback,Luxury,Performance,Midsize,4dr Hatchback,BMW 3 Series Gran Turismo"
125,"premium unleaded (required),AUTOMATIC,all wheel drive,Hatchback,Luxury,Midsize,4dr Hatchback,BMW 3 Series Gran Turismo"
126,"premium unleaded (required),AUTOMATIC,all wheel drive,Hatchback,Luxury,Midsize,4dr Hatchback,BMW 3 Series Gran Turismo"
127,"premium unleaded (required),AUTOMATIC,all wheel drive,Hatchback,Luxury,Midsize,4dr Hatchback,BMW 3 Series Gran Turismo"
128,"premium unleaded (required),AUTOMATIC,all wheel drive,Hatchback,Luxury,Performance,Midsize,4dr Hatchback,BMW 3 Series Gran Turismo"
129,"premium unleaded (required),AUTOMATIC,all wheel drive,Hatchback,Luxury,Performance,Midsize,4dr Hatchback,BMW 3 Series Gran Turismo"
130,"premium unleaded (required),AUTOMATIC,all wheel drive,Hatchback,Luxury,Midsize,4dr Hatchback,BMW 3 Series Gran Turismo"
131,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,BMW 3 Series"
132,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,High-Performance,Hybrid,Midsize,Sedan,BMW 3 Series"
133,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,BMW 3 Series"
134,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,High-Performance,Midsize,Sedan,BMW 3 Series"
135,"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Midsize,Sedan,BMW 3 Series"
136,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,BMW 3 Series"
137,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,BMW 3 Series"
138,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,BMW 3 Series"
139,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Midsize,Sedan,BMW 3 Series"
140,"diesel,AUTOMATIC,all wheel drive,Diesel,Luxury,Midsize,Wagon,BMW 3 Series"
141,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,BMW 3 Series"
142,"diesel,AUTOMATIC,all wheel drive,Diesel,Luxury,Midsize,Sedan,BMW 3 Series"
143,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,BMW 3 Series"
144,"diesel,AUTOMATIC,all wheel drive,Diesel,Luxury,Midsize,Sedan,BMW 3 Series"
145,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,High-Performance,Midsize,Sedan,BMW 3 Series"
146,"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Midsize,Sedan,BMW 3 Series"
147,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,BMW 3 Series"
148,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,BMW 3 Series"
149,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Midsize,Sedan,BMW 3 Series"
150,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,BMW 3 Series"
151,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,BMW 3 Series"
152,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,BMW 3 Series"
153,"diesel,AUTOMATIC,all wheel drive,Diesel,Luxury,Midsize,Wagon,BMW 3 Series"
154,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,High-Performance,Midsize,Sedan,BMW 3 Series"
155,"premium unleaded (recommended),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,BMW 3 Series"
156,"premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,BMW 3 Series"
157,"premium unleaded (recommended),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,BMW 3 Series"
158,"premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,BMW 3 Series"
159,"diesel,AUTOMATIC,all wheel drive,Diesel,Luxury,Midsize,Sedan,BMW 3 Series"
160,"premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,BMW 3 Series"
161,"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Midsize,Sedan,BMW 3 Series"
162,"premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Performance,Midsize,Sedan,BMW 3 Series"
163,"premium unleaded (recommended),AUTOMATIC,rear wheel drive,Luxury,High-Performance,Midsize,Sedan,BMW 3 Series"
164,"diesel,AUTOMATIC,all wheel drive,Diesel,Luxury,Midsize,Wagon,BMW 3 Series"
165,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,Mercedes-Benz 300-Class"
166,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Wagon,Mercedes-Benz 300-Class"
167,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class"
168,"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class"
169,"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,Mercedes-Benz 300-Class"
170,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class"
171,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,Mercedes-Benz 300-Class"
172,"regular unleaded,MANUAL,rear wheel drive,Luxury,Performance,Compact,Convertible,Mercedes-Benz 300-Class"
173,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Coupe,Mercedes-Benz 300-Class"
174,"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class"
175,"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class"
176,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,Mercedes-Benz 300-Class"
177,"regular unleaded,MANUAL,rear wheel drive,Luxury,Performance,Compact,Convertible,Mercedes-Benz 300-Class"
178,"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class"
179,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Wagon,Mercedes-Benz 300-Class"
180,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Coupe,Mercedes-Benz 300-Class"
181,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class"
182,"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Large,Sedan,Mercedes-Benz 300-Class"
183,"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,Mercedes-Benz 300-Class"
184,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class"
185,"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,Mercedes-Benz 300-Class"
186,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Coupe,Mercedes-Benz 300-Class"
187,"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class"
188,"regular unleaded,MANUAL,rear wheel drive,Luxury,Performance,Compact,Convertible,Mercedes-Benz 300-Class"
189,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class"
190,"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Large,Sedan,Mercedes-Benz 300-Class"
191,"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class"
192,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class"
193,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,Mercedes-Benz 300-Class"
194,"regular unleaded,MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Mitsubishi 3000GT"
195,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Mitsubishi 3000GT"
196,"regular unleaded,MANUAL,all wheel drive,Hatchback,Factory Tuner,Performance,Compact,2dr Hatchback,Mitsubishi 3000GT"
197,"regular unleaded,MANUAL,all wheel drive,Hatchback,Factory Tuner,Performance,Compact,2dr Hatchback,Mitsubishi 3000GT"
198,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Mitsubishi 3000GT"
199,"regular unleaded,MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Mitsubishi 3000GT"
200,"regular unleaded,MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Mitsubishi 3000GT"
201,"regular unleaded,MANUAL,all wheel drive,Hatchback,Factory Tuner,Performance,Compact,2dr Hatchback,Mitsubishi 3000GT"
202,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Mitsubishi 3000GT"
203,"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300"
204,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Sedan,Chrysler 300"
205,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Sedan,Chrysler 300"
206,"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300"
207,"regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,Chrysler 300"
208,"regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,Chrysler 300"
209,"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300"
210,"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300"
211,"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300"
212,"regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,Chrysler 300"
213,"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300"
214,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Sedan,Chrysler 300"
215,"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300"
216,"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300"
217,"regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,Chrysler 300"
218,"regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,Chrysler 300"
219,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Sedan,Chrysler 300"
220,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Sedan,Chrysler 300"
221,"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300"
222,"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300"
223,"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300"
224,"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300"
225,"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300"
226,"regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,Chrysler 300"
227,"regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,Chrysler 300"
228,"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300"
229,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Sedan,Chrysler 300"
230,"regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,Chrysler 300"
231,"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300"
232,"regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,Chrysler 300"
233,"premium unleaded (required),AUTOMATIC,front wheel drive,Performance,Large,Sedan,Chrysler 300M"
234,"premium unleaded (required),AUTOMATIC,front wheel drive,Performance,Large,Sedan,Chrysler 300M"
235,"premium unleaded (required),AUTOMATIC,front wheel drive,Performance,Large,Sedan,Chrysler 300M"
236,"regular unleaded,AUTOMATIC,front wheel drive,Performance,Large,Sedan,Chrysler 300M"
237,"regular unleaded,AUTOMATIC,front wheel drive,Performance,Large,Sedan,Chrysler 300M"
238,"premium unleaded (required),AUTOMATIC,front wheel drive,Performance,Large,Sedan,Chrysler 300M"
239,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Convertible,Nissan 300ZX"
240,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 300ZX"
241,"regular unleaded,MANUAL,rear wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Nissan 300ZX"
242,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 300ZX"
243,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 300ZX"
244,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 300ZX"
245,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 300ZX"
246,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Convertible,Nissan 300ZX"
247,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 300ZX"
248,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 300ZX"
249,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Convertible,Nissan 300ZX"
250,"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 300ZX"
251,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Mazda 323"
252,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Mazda 323"
253,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Mazda 323"
254,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Mazda 323"
255,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Mazda 323"
256,"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Large,Sedan,Mercedes-Benz 350-Class"
257,"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Large,Sedan,Mercedes-Benz 350-Class"
258,"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Large,Sedan,Mercedes-Benz 350-Class"
